,alpha,error_type,mean_error
0,1e-06,Training,0.9269261549225588
1,1e-05,Training,0.9269261549263668
2,0.0001,Training,0.9269261553070332
3,0.001,Training,0.9269261932409044
4,0.01,Training,0.9269298579167146
5,0.1,Training,0.9271986676627673
6,1.0,Training,0.9322148830457009
7,10.0,Training,0.9535179336578474
8,100.0,Training,0.9983806620768405
9,1000.0,Training,1.0135944914153148
10,10000.0,Training,1.0155946731066754
11,100000.0,Training,1.0158025169933662
12,1000000.0,Training,1.0158233857253065
13,1e-06,Validation,0.9937058809107671
14,1e-05,Validation,0.9937049084436461
15,0.0001,Validation,0.993695187408378
16,0.001,Validation,0.9935983394216973
17,0.01,Validation,0.9926649066002621
18,0.1,Validation,0.9859369019735466
19,1.0,Validation,0.9739415836046108
20,10.0,Validation,0.981985431952551
21,100.0,Validation,1.0139325528571566
22,1000.0,Validation,1.0239704443674316
23,10000.0,Validation,1.0252068767539804
24,100000.0,Validation,1.0253341105829794
25,1000000.0,Validation,1.0253468726577524
